rowvar,lev,npr,size,tang,growth,ndts,soe
lev,1,-.3589088,.48126316,.052802175,.0085223364,.017456809,.2737776
npr,-.3589088,1,.016581293,-.05030591,.20010808,-.1107754,-.072638765
size,.48126316,.016581293,1,.078615561,.047769427,.016696209,.36681423
tang,.052802175,-.05030591,.078615561,1,-.10111465,.69509864,.16398066
growth,.0085223364,.20010808,.047769427,-.10111465,1,-.15385504,-.086320579
ndts,.017456809,-.1107754,.016696209,.69509864,-.15385504,1,.073202305
soe,.2737776,-.072638765,.36681423,.16398066,-.086320579,.073202305,1
