size_grid,me,se,ll,ul,p
20.77365112304688,-.58019251,.06402228,-.70567387,-.45471111,1.2766655e-19
20.85620851516724,-.57986724,.063251823,-.70383859,-.45589599,4.8367587e-20
20.9387659072876,-.5798499,.062550582,-.70244682,-.45725304,1.8597830e-20
21.02132329940796,-.58014047,.061908387,-.70147866,-.45880225,7.1881923e-21
21.10388069152832,-.58073884,.061315224,-.7009145,-.46056321,2.7621043e-21
21.18643808364869,-.58164513,.060761366,-.70073521,-.46255505,1.0423571e-21
21.26899547576905,-.58285928,.060237445,-.70092249,-.46479607,3.8123694e-22
21.35155286788941,-.58438128,.059734531,-.70145881,-.46730378,1.3323846e-22
21.43411026000977,-.5862112,.059244178,-.70232767,-.47009474,4.3834558e-23
21.51666765213013,-.58834898,.058758479,-.7035135,-.47318447,1.3363015e-23
21.59922504425049,-.59079462,.058270097,-.70500195,-.47658733,3.7126121e-24
21.68178243637085,-.59354818,.057772294,-.70677978,-.48031655,9.2369518e-25
21.76433982849121,-.59660953,.057258941,-.70883501,-.48438409,2.0201246e-25
21.84689722061158,-.5999788,.056724548,-.7111569,-.48880073,3.8072597e-26
21.92945461273194,-.60365593,.056164254,-.71373588,-.49357605,6.0530372e-27
22.0120120048523,-.60764098,.055573855,-.71656376,-.49871823,7.9330677e-28
22.09456939697266,-.61193389,.054949805,-.71963352,-.50423425,8.3579925e-29
22.17712678909302,-.61653465,.054289248,-.72293961,-.51012969,6.8865620e-30
22.25968418121338,-.62144327,.053590015,-.7264778,-.5164088,4.3052518e-31
22.34224157333374,-.62665981,.052850664,-.73024517,-.52307439,1.9751693e-32
22.42479896545411,-.63218421,.052070525,-.73424053,-.53012782,6.4099353e-34
22.50735635757447,-.63801646,.051249739,-.73846412,-.53756881,1.4131617e-35
22.58991374969483,-.64415658,.050389331,-.7429179,-.54539531,2.0250034e-37
22.67247114181519,-.65060461,.049491283,-.74760574,-.55360347,0
22.75502853393555,-.65736049,.048558641,-.75253367,-.56218731,0
22.83758592605591,-.66442424,.047595631,-.75770998,-.5711385,0
22.92014331817627,-.6717959,.046607818,-.76314551,-.58044624,0
23.00270071029664,-.67947537,.045602266,-.7688542,-.59009659,0
23.08525810241699,-.68746281,.044587743,-.77485317,-.60007238,0
23.16781549453736,-.69575804,.043574952,-.78116339,-.61035269,0
23.25037288665772,-.70436114,.042576749,-.78781009,-.62091225,0
23.33293027877808,-.71327215,.041608393,-.79482311,-.6317212,0
23.41548767089844,-.72249103,.040687747,-.80223757,-.64274454,0
23.4980450630188,-.73201782,.039835408,-.81009376,-.65394187,0
23.58060245513916,-.74185246,.039074726,-.81843752,-.66526735,0
23.66315984725953,-.75199497,.038431618,-.8273195,-.67667037,0
23.74571723937989,-.76244533,.037934087,-.83679473,-.68809587,0
23.82827463150025,-.77320355,.037611425,-.84692061,-.69948655,0
23.91083202362061,-.78426969,.037493039,-.85775471,-.71078467,0
23.99338941574097,-.79564369,.037606966,-.86935198,-.72193539,0
24.07594680786133,-.80732554,.037978262,-.88176161,-.73288953,0
